,Actual value,Predicted value
5812,0,1.7388456648137094
416,0,-0.41554516892823856
281,0,-0.45124861263012184
3958,1,1.7618853727764652
1989,1,0.1553270196029093
727,5,10.803682892366957
2279,0,-0.08674395860741813
4649,0,1.1424230508842972
2419,0,0.025495252388657796
1073,6,2.0045947395688355
4517,0,1.191411267399209
5409,1,1.5122787503021229
5944,0,1.5168153344413589
2096,0,0.15766959171951722
5670,0,1.7530173948292678
1276,3,0.622005469056611
3815,0,1.477690303758373
4363,0,1.6097225079140371
1303,0,-0.07443101269542174
2132,0,0.16663238387831925
4094,9,10.698653354779262
2973,4,0.7620586528221018
1829,0,-0.05087639290349211
241,0,-0.4542202684543466
5419,0,1.4785353574710198
1748,0,-0.09344396231252183
3216,0,1.8119405637031605
5586,0,1.5212705408395832
4255,0,1.4740165369205185
4666,19,12.09560117630805
467,0,-0.277717378057452
885,1,1.2339917375201823
2426,0,-0.45077423777081194
4181,1,1.4848791815121154
4964,13,4.063126397643201
3161,0,1.1566087487298167
3425,1,1.8573618956813638
943,0,0.2818667060644824
3672,5,8.346959398305787
2615,0,-0.3765248969699613
483,0,0.30073071740415447
2913,0,-0.4513428954823593
3588,1,1.8184786452258583
3209,0,1.1707804787453755
2868,3,0.28255264942851355
1703,1,0.15604636284590612
4234,3,1.7100023235021151
4810,0,1.1211183144348404
5403,0,1.7979806937432197
3093,46,34.41488860309145
4219,0,2.213468013756505
3001,0,1.1494158476592164
13,0,-0.44594888387861853
5885,0,1.8627566385657275
2074,0,-0.09309552548094624
287,0,-0.46220341463648484
5340,0,1.9285138701883398
5488,1,1.4819325007496906
4931,0,1.7335877547805687
2373,0,-0.21701464974670892
764,0,0.26360293322968786
5342,0,1.887201583839622
3482,0,2.108217348660405
2995,0,0.43314781490970855
275,1,-0.4514965416119314
1793,1,-0.05087639290349211
5129,5,6.309901622808402
4874,3,2.4701844616023045
2543,0,3.3592739474166358
4143,0,1.4893518476977912
4039,4,1.9777827630771565
3351,0,2.0852775409448485
3136,0,1.432260307154532
253,0,-0.1512508227819198
4601,1,6.5314376061507815
87,0,-0.21418728403301257
2239,0,-0.11758037248530862
